idx,doc_id,senti_score_assets,senti_score_economy,senti_score_expenses,senti_score_govt policy,senti_score_industry,senti_score_innovation,senti_score_liquidity,senti_score_margins,senti_score_merges_acquisitions,senti_score_negative indicators,senti_score_positive indicators,indicators_ratio,senti_score_pricing,senti_score_product portfolio,senti_score_ratio,senti_score_recent trends,senti_score_recognition_awards,senti_score_revenue,senti_score_stocks,company,BSE_Code,Release_Date,BSE_Code_Yr,id,yr,Base_Price,one_mnthcp,six_mnthcp,one_yearcp,one_mnthcpchngper,six_mnthcpchngper,one_yearcpchngper,y_target,y_segment,y_target1,y_target6,y_target12
436,D:\Danny\DATA_text\RENUKA\5326700313.txt,4,2,1,4.333333333,4,3.333333333,1,6,6,2,5,2.5,6,6,4,3,1,5,3,RENUKA,532670,1/3/2013,532670_2013,532670,2013,23.55,24.45,15.3,21.25,3.8,-35,-9.8,5.143124477,5to6,5.035653057,4.744932128,4.943069975
437,D:\Danny\DATA_text\RENUKA\5326700314.txt,2,3,2,3.333333333,4.5,7,1.5,1,6,2,1,0.5,2,5,5.333333333,1,5,3,1,RENUKA,532670,1/3/2014,532670_2014,532670,2014,21.25,21.8,19.45,15.85,2.6,-8.5,-25.4,5.111083765,5to6,5.027820119,4.952299717,4.825108606
438,D:\Danny\DATA_text\RENUKA\5326700315.txt,4,1.333333333,4,3.4,3,8,5,4,2.5,3,5,1.666666667,0.75,6,3,1,3,2,1,RENUKA,532670,1/3/2015,532670_2015,532670,2015,15.85,13.21,7.44,12.76,-16.7,-53.1,-19.5,5.092276723,5to6,4.892602227,4.573679519,4.871373227
439,D:\Danny\DATA_text\RENUKA\5326700910.txt,4,1.5,1,9,1,4,2,3,11,1,4,4,1,3,6,3,1,4,2,RENUKA,532670,1/9/2010,532670_2010,532670,2010,166.65,70.65,63.75,71.2,-57.6,-61.7,-57.3,5.39906727,5to6,4.526126979,4.480740108,4.529368473
440,D:\Danny\DATA_text\ROLTA\5003660314.txt,8.75,15,7,33,6.111111111,49,9.5,11,13,21,25,1.19047619,7.666666667,38,7.666666667,25,37,5,1.75,ROLTA,500366,1/3/2014,500366_2014,500366,2014,75.7,77.95,104.15,191.1,3,37.6,152.4,5.832175689,5to6,5.030437921,5.234312037,5.711750644
441,D:\Danny\DATA_text\ROLTA\5003660315.txt,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,2,1,1,ROLTA,500366,1/3/2015,500366_2015,500366,2015,191.1,175.15,96.25,100.65,-8.3,-49.6,-47.3,5.524057544,5to6,4.953712147,4.609162207,4.631812117
442,D:\Danny\DATA_text\ROLTA\5003660610.txt,18,14,3,16.33333333,8.333333333,13.5,1.666666667,5,28,5,19,3.8,14,10.33333333,15,18,17,6,24,ROLTA,500366,1/6/2010,500366_2010,500366,2010,176.8,189.35,162.65,139.8,7.1,-8,-20.9,5.66919103,5to6,5.056882545,4.955827058,4.860587298
443,D:\Danny\DATA_text\ROLTA\5003660611.txt,6,6.5,7,20.33333333,7.75,7.6,2.333333333,5,17,9,8,0.888888889,10,7.2,10.5,13.5,22,10,24,ROLTA,500366,1/6/2011,500366_2011,500366,2011,139.8,146,99.35,98.1,4.4,-28.9,-29.8,5.513831891,5to6,5.039546638,4.796616651,4.789157022
444,D:\Danny\DATA_text\ROLTA\5003660612.txt,12,3,6,9.714285714,3.909090909,22.66666667,5.5,9,43,16,17,1.0625,2.8,56,18.33333333,39,38,11,26,ROLTA,500366,1/6/2012,500366_2012,500366,2012,98.1,91.1,64.2,65.4,-7.1,-34.6,-33.3,5.372496765,5to6,4.962145085,4.748404354,4.759606539
445,D:\Danny\DATA_text\ROLTA\5003660613.txt,9.5,6.8,12,14.14285714,4.5,25.5,9,12,12.66666667,16,47,2.9375,24,17,14.75,29,28,21,13,ROLTA,500366,1/6/2013,500366_2013,500366,2013,65.4,65.1,62.2,75.7,-0.5,-4.9,15.7,5.419206684,5to6,5.007296393,4.97742316,5.110178924
